Starting SCAN training
Namespace(model='gru', train='../data/SCAN/length_split/tasks_train_length.txt', valid='../data/SCAN/length_split/tasks_test_length.txt', name='last_model.pt', device='cuda', bsz=1, steps=100000, eval_interval=105000, lr=0.001, hidden_dim=50, layers=1, dropout=0.5, clip=5, use_attention=True, verbose=False, use_oracle=True, teacher_forcing_ratio=0.5, log_target_probs=True, seed=None)
----------
Loaded train dataset with 16990 entries
Loaded validation dataset with 3920 entries
Step 0 - training loss: 0.002129229484125972
Step 1000 - training loss: 1.4229658842086792
Step 2000 - training loss: 1.1046992540359497
Step 3000 - training loss: 0.9165099859237671
Step 4000 - training loss: 0.723624050617218
Step 5000 - training loss: 0.5777264833450317
Step 6000 - training loss: 0.5117323398590088
Step 7000 - training loss: 0.4714220464229584
Step 8000 - training loss: 0.3926207721233368
Step 9000 - training loss: 0.34626305103302
Step 10000 - training loss: 0.34279704093933105
Step 11000 - training loss: 0.2853294909000397
Step 12000 - training loss: 0.2847638726234436
Step 13000 - training loss: 0.22540782392024994
Step 14000 - training loss: 0.21853433549404144
Step 15000 - training loss: 0.18474988639354706
Step 16000 - training loss: 0.2112479954957962
Step 17000 - training loss: 0.19216430187225342
Step 18000 - training loss: 0.16462038457393646
Step 19000 - training loss: 0.16008542478084564
Step 20000 - training loss: 0.1438831239938736
Step 21000 - training loss: 0.14809589087963104
Step 22000 - training loss: 0.12284025549888611
Step 23000 - training loss: 0.1139523833990097
Step 24000 - training loss: 0.12823668122291565
Step 25000 - training loss: 0.08618947118520737
Step 26000 - training loss: 0.10524218529462814
Step 27000 - training loss: 0.09711277484893799
Step 28000 - training loss: 0.07990515232086182
Step 29000 - training loss: 0.08551879227161407
Step 30000 - training loss: 0.08641768246889114
Step 31000 - training loss: 0.07187774032354355
Step 32000 - training loss: 0.0707307681441307
Step 33000 - training loss: 0.06202975660562515
Step 34000 - training loss: 0.08078821003437042
Step 35000 - training loss: 0.05242586135864258
Step 36000 - training loss: 0.056410785764455795
Step 37000 - training loss: 0.05023112893104553
Step 38000 - training loss: 0.05972154811024666
Step 39000 - training loss: 0.0469425804913044
Step 40000 - training loss: 0.038829490542411804
Step 41000 - training loss: 0.042025551199913025
Step 42000 - training loss: 0.06144740805029869
Step 43000 - training loss: 0.05103480815887451
Step 44000 - training loss: 0.05260373279452324
Step 45000 - training loss: 0.050573598593473434
Step 46000 - training loss: 0.041561830788850784
Step 47000 - training loss: 0.041807014495134354
Step 48000 - training loss: 0.053123656660318375
Step 49000 - training loss: 0.049816180020570755
Step 50000 - training loss: 0.045043330639600754
Step 51000 - training loss: 0.04047800600528717
Step 52000 - training loss: 0.022578319534659386
Step 53000 - training loss: 0.04275503754615784
Step 54000 - training loss: 0.045225538313388824
Step 55000 - training loss: 0.03576086089015007
Step 56000 - training loss: 0.04396599903702736
Step 57000 - training loss: 0.03980178013443947
Step 58000 - training loss: 0.02416723594069481
Step 59000 - training loss: 0.028153635561466217
Step 60000 - training loss: 0.07204807549715042
Step 61000 - training loss: 0.04000771790742874
Step 62000 - training loss: 0.026059497147798538
Step 63000 - training loss: 0.024297645315527916
Step 64000 - training loss: 0.03580903634428978
Step 65000 - training loss: 0.038552459329366684
Step 66000 - training loss: 0.05752921849489212
Step 67000 - training loss: 0.02539476752281189
Step 68000 - training loss: 0.03470885381102562
