Starting SCAN training
Namespace(model='lstm', train='../data/SCAN/simple_split/size_variations/tasks_train_simple_p4.txt', valid='../data/SCAN/simple_split/size_variations/tasks_test_simple_p4.txt', name=None, device='cuda', bsz=1, steps=100000, eval_interval=101000, lr=0.001, hidden_dim=100, layers=2, dropout=0.5, clip=5, use_attention=False, verbose=False, use_oracle=False, teacher_forcing_ratio=0.5, log_target_probs=False, seed=None)
----------
Loaded train dataset with 836 entries
Loaded validation dataset with 20074 entries
Step 0 - training loss: 0.050497278571128845
Step 1000 - training loss: 22.37554168701172
Step 2000 - training loss: 15.52420711517334
Step 3000 - training loss: 13.014105796813965
Step 4000 - training loss: 10.822081565856934
Step 5000 - training loss: 10.137310028076172
Step 6000 - training loss: 8.913395881652832
Step 7000 - training loss: 8.22756576538086
Step 8000 - training loss: 6.930648326873779
Step 9000 - training loss: 6.809895992279053
Step 10000 - training loss: 5.88897705078125
Step 11000 - training loss: 5.678229808807373
Step 12000 - training loss: 5.782928943634033
Step 13000 - training loss: 4.861643314361572
Step 14000 - training loss: 5.202969074249268
Step 15000 - training loss: 4.331058025360107
Step 16000 - training loss: 4.625178337097168
Step 17000 - training loss: 3.9171645641326904
Step 18000 - training loss: 3.772024631500244
Step 19000 - training loss: 3.638557195663452
Step 20000 - training loss: 3.457341194152832
Step 21000 - training loss: 3.361567258834839
Step 22000 - training loss: 2.8842577934265137
Step 23000 - training loss: 3.6049840450286865
Step 24000 - training loss: 2.988193988800049
Step 25000 - training loss: 2.803325891494751
Step 26000 - training loss: 2.3935763835906982
Step 27000 - training loss: 2.8795647621154785
Step 28000 - training loss: 2.3863906860351562
Step 29000 - training loss: 2.1636557579040527
Step 30000 - training loss: 2.1981406211853027
Step 31000 - training loss: 2.433210611343384
Step 32000 - training loss: 2.243281602859497
Step 33000 - training loss: 1.8366038799285889
Step 34000 - training loss: 1.9842249155044556
Step 35000 - training loss: 1.5222409963607788
Step 36000 - training loss: 2.003725290298462
Step 37000 - training loss: 1.942165732383728
Step 38000 - training loss: 1.982411503791809
Step 39000 - training loss: 1.6997292041778564
Step 40000 - training loss: 1.680243968963623
Step 41000 - training loss: 1.4208711385726929
Step 42000 - training loss: 1.6833771467208862
Step 43000 - training loss: 1.2932003736495972
Step 44000 - training loss: 1.5151268243789673
Step 45000 - training loss: 1.6067755222320557
Step 46000 - training loss: 1.47920823097229
Step 47000 - training loss: 1.408841848373413
Step 48000 - training loss: 1.1941126585006714
Step 49000 - training loss: 1.0016716718673706
Step 50000 - training loss: 1.2483410835266113
Step 51000 - training loss: 0.9815087914466858
Step 52000 - training loss: 1.5973079204559326
Step 53000 - training loss: 1.3209826946258545
Step 54000 - training loss: 1.3152791261672974
Step 55000 - training loss: 1.160905361175537
Step 56000 - training loss: 1.0694657564163208
Step 57000 - training loss: 1.001387119293213
Step 58000 - training loss: 1.1235045194625854
Step 59000 - training loss: 0.7919953465461731
Step 60000 - training loss: 1.0539698600769043
Step 61000 - training loss: 1.0879849195480347
Step 62000 - training loss: 0.6528660655021667
Step 63000 - training loss: 0.7445478439331055
Step 64000 - training loss: 0.7793631553649902
Step 65000 - training loss: 0.7455774545669556
Step 66000 - training loss: 1.096144676208496
Step 67000 - training loss: 0.8427338600158691
Step 68000 - training loss: 0.6186900734901428
Step 69000 - training loss: 0.659294843673706
Step 70000 - training loss: 0.8523882031440735
Step 71000 - training loss: 0.9459624290466309
Step 72000 - training loss: 0.8077418804168701
Step 73000 - training loss: 0.503281831741333
Step 74000 - training loss: 0.8797929286956787
Step 75000 - training loss: 0.7003137469291687
Step 76000 - training loss: 0.44549232721328735
Step 77000 - training loss: 0.496479868888855
Step 78000 - training loss: 0.3767359256744385
Step 79000 - training loss: 0.9502013325691223
Step 80000 - training loss: 0.5057552456855774
Step 81000 - training loss: 0.3703433573246002
Step 82000 - training loss: 0.27183210849761963
Step 83000 - training loss: 0.6208387613296509
Step 84000 - training loss: 0.609855055809021
Step 85000 - training loss: 0.5239482522010803
Step 86000 - training loss: 0.4359118342399597
Step 87000 - training loss: 0.6002116203308105
Step 88000 - training loss: 0.32198187708854675
Step 89000 - training loss: 0.4398016333580017
Step 90000 - training loss: 0.5864424705505371
Step 91000 - training loss: 0.5173644423484802
Step 92000 - training loss: 0.42610377073287964
Step 93000 - training loss: 0.3895075023174286
Step 94000 - training loss: 0.517254114151001
Step 95000 - training loss: 0.24722051620483398
Step 96000 - training loss: 0.4584711790084839
Step 97000 - training loss: 0.21887335181236267
Step 98000 - training loss: 0.2299320548772812
Step 99000 - training loss: 0.28211066126823425
Finished - running eval...
