Starting SCAN training
Namespace(model='lstm', train='../data/SCAN/simple_split/size_variations/tasks_train_simple_p4.txt', valid='../data/SCAN/simple_split/size_variations/tasks_test_simple_p4.txt', name=None, device='cuda', bsz=1, steps=100000, eval_interval=101000, lr=0.001, hidden_dim=100, layers=2, dropout=0.5, clip=5, use_attention=False, verbose=False, use_oracle=False, teacher_forcing_ratio=0.5, log_target_probs=False, seed=None)
----------
Loaded train dataset with 836 entries
Loaded validation dataset with 20074 entries
Step 0 - training loss: 0.01978675089776516
Step 1000 - training loss: 22.516035079956055
Step 2000 - training loss: 16.465158462524414
Step 3000 - training loss: 13.249863624572754
Step 4000 - training loss: 10.799978256225586
Step 5000 - training loss: 9.494163513183594
Step 6000 - training loss: 9.074344635009766
Step 7000 - training loss: 8.008631706237793
Step 8000 - training loss: 7.437279224395752
Step 9000 - training loss: 6.8041863441467285
Step 10000 - training loss: 6.6285505294799805
Step 11000 - training loss: 5.731274604797363
Step 12000 - training loss: 5.6373162269592285
Step 13000 - training loss: 5.374430179595947
Step 14000 - training loss: 5.085283279418945
Step 15000 - training loss: 4.7071332931518555
Step 16000 - training loss: 3.922680616378784
Step 17000 - training loss: 4.051816940307617
Step 18000 - training loss: 3.8697543144226074
Step 19000 - training loss: 4.0720601081848145
Step 20000 - training loss: 3.5255918502807617
Step 21000 - training loss: 3.4329216480255127
Step 22000 - training loss: 3.687044143676758
Step 23000 - training loss: 3.0669589042663574
Step 24000 - training loss: 3.0074851512908936
Step 25000 - training loss: 2.7664597034454346
Step 26000 - training loss: 2.523987293243408
Step 27000 - training loss: 2.6097257137298584
Step 28000 - training loss: 2.4359750747680664
Step 29000 - training loss: 2.6275527477264404
Step 30000 - training loss: 2.8823354244232178
Step 31000 - training loss: 2.3123371601104736
Step 32000 - training loss: 1.7987884283065796
Step 33000 - training loss: 2.110502004623413
Step 34000 - training loss: 1.6043025255203247
Step 35000 - training loss: 1.8172125816345215
Step 36000 - training loss: 1.610724925994873
Step 37000 - training loss: 1.3834741115570068
Step 38000 - training loss: 1.663281798362732
Step 39000 - training loss: 1.6567444801330566
Step 40000 - training loss: 1.106997013092041
Step 41000 - training loss: 1.558061957359314
Step 42000 - training loss: 1.9928003549575806
Step 43000 - training loss: 1.5746593475341797
Step 44000 - training loss: 1.432948350906372
Step 45000 - training loss: 1.4178165197372437
Step 46000 - training loss: 1.2331483364105225
Step 47000 - training loss: 1.5468770265579224
Step 48000 - training loss: 1.4196559190750122
Step 49000 - training loss: 1.1519569158554077
Step 50000 - training loss: 1.101067066192627
Step 51000 - training loss: 1.3599692583084106
Step 52000 - training loss: 0.957857072353363
Step 53000 - training loss: 0.9174703359603882
Step 54000 - training loss: 0.8481481075286865
Step 55000 - training loss: 0.7851294875144958
Step 56000 - training loss: 1.1967309713363647
Step 57000 - training loss: 1.003689169883728
Step 58000 - training loss: 0.6728705167770386
Step 59000 - training loss: 0.6782469749450684
Step 60000 - training loss: 0.6661236882209778
Step 61000 - training loss: 0.71782386302948
Step 62000 - training loss: 0.7310948371887207
Step 63000 - training loss: 0.6744036674499512
Step 64000 - training loss: 0.7466495633125305
Step 65000 - training loss: 0.6669304966926575
Step 66000 - training loss: 0.5736226439476013
Step 67000 - training loss: 0.4498888850212097
Step 68000 - training loss: 0.6004303693771362
Step 69000 - training loss: 0.46893560886383057
Step 70000 - training loss: 0.4629286527633667
Step 71000 - training loss: 0.5816046595573425
Step 72000 - training loss: 0.5643824934959412
Step 73000 - training loss: 0.998395562171936
Step 74000 - training loss: 0.4580153822898865
Step 75000 - training loss: 0.4650890827178955
Step 76000 - training loss: 0.6732688546180725
Step 77000 - training loss: 0.8413127660751343
Step 78000 - training loss: 0.5585381388664246
Step 79000 - training loss: 0.6185501217842102
Step 80000 - training loss: 0.5048394203186035
Step 81000 - training loss: 0.7506579756736755
Step 82000 - training loss: 0.2633453607559204
Step 83000 - training loss: 0.49676409363746643
Step 84000 - training loss: 0.5880123376846313
Step 85000 - training loss: 0.3337259888648987
Step 86000 - training loss: 0.3611847758293152
Step 87000 - training loss: 0.3204873502254486
Step 88000 - training loss: 0.43560531735420227
Step 89000 - training loss: 0.3773544728755951
Step 90000 - training loss: 0.3158831000328064
Step 91000 - training loss: 0.6496151089668274
Step 92000 - training loss: 0.3006472587585449
Step 93000 - training loss: 0.4179132580757141
Step 94000 - training loss: 0.239409938454628
Step 95000 - training loss: 0.2655582129955292
Step 96000 - training loss: 0.28823357820510864
Step 97000 - training loss: 0.11418662220239639
Step 98000 - training loss: 0.3068554401397705
Step 99000 - training loss: 0.33528655767440796
Finished - running eval...
