Starting SCAN training
Namespace(model='lstm', train='../data/SCAN/simple_split/tasks_train_simple.txt', valid='../data/SCAN/simple_split/tasks_test_simple.txt', name=None, device='cuda', bsz=1, steps=100000, eval_interval=101000, lr=0.001, hidden_dim=100, layers=2, dropout=0.0, clip=5, use_attention=False, verbose=False, use_oracle=False, teacher_forcing_ratio=0.5, log_target_probs=False, seed=None)
----------
Loaded train dataset with 16728 entries
Loaded validation dataset with 4182 entries
Step 0 - training loss: 0.0022635729983448982
Step 1000 - training loss: 1.3876738548278809
Step 2000 - training loss: 0.8937022089958191
Step 3000 - training loss: 0.6438957452774048
Step 4000 - training loss: 0.49139729142189026
Step 5000 - training loss: 0.450621634721756
Step 6000 - training loss: 0.36751073598861694
Step 7000 - training loss: 0.32385265827178955
Step 8000 - training loss: 0.27854934334754944
Step 9000 - training loss: 0.24427233636379242
Step 10000 - training loss: 0.19234034419059753
Step 11000 - training loss: 0.19182553887367249
Step 12000 - training loss: 0.15091748535633087
Step 13000 - training loss: 0.16255101561546326
Step 14000 - training loss: 0.12455650418996811
Step 15000 - training loss: 0.1328957974910736
Step 16000 - training loss: 0.1159544363617897
Step 17000 - training loss: 0.10783891379833221
Step 18000 - training loss: 0.0942976176738739
Step 19000 - training loss: 0.10880343616008759
Step 20000 - training loss: 0.08007185161113739
Step 21000 - training loss: 0.08880286663770676
Step 22000 - training loss: 0.08185359090566635
Step 23000 - training loss: 0.07526325434446335
Step 24000 - training loss: 0.07201012969017029
Step 25000 - training loss: 0.08005359023809433
Step 26000 - training loss: 0.07096664607524872
Step 27000 - training loss: 0.0720905140042305
Step 28000 - training loss: 0.044300444424152374
Step 29000 - training loss: 0.04791891574859619
Step 30000 - training loss: 0.05941485986113548
Step 31000 - training loss: 0.049998633563518524
Step 32000 - training loss: 0.049680378288030624
Step 33000 - training loss: 0.05513904616236687
Step 34000 - training loss: 0.0292959064245224
Step 35000 - training loss: 0.03429817408323288
Step 36000 - training loss: 0.031180012971162796
Step 37000 - training loss: 0.03889676183462143
Step 38000 - training loss: 0.022403188049793243
