Starting SCAN training
Namespace(model='lstm', train='../data/SCAN/simple_split/size_variations/tasks_train_simple_p1.txt', valid='../data/SCAN/simple_split/size_variations/tasks_test_simple_p1.txt', name=None, device='cuda', bsz=1, steps=100000, eval_interval=101000, lr=0.001, hidden_dim=100, layers=2, dropout=0.5, clip=5, use_attention=False, verbose=False, use_oracle=False, teacher_forcing_ratio=0.5, log_target_probs=False, seed=None)
----------
Loaded train dataset with 209 entries
Loaded validation dataset with 20701 entries
Step 0 - training loss: 0.011035589501261711
Step 1000 - training loss: 22.227941513061523
Step 2000 - training loss: 14.636153221130371
Step 3000 - training loss: 11.675809860229492
Step 4000 - training loss: 9.124005317687988
Step 5000 - training loss: 7.9291300773620605
Step 6000 - training loss: 6.74367094039917
Step 7000 - training loss: 5.678899765014648
Step 8000 - training loss: 5.6652913093566895
Step 9000 - training loss: 4.861264228820801
Step 10000 - training loss: 4.190266132354736
Step 11000 - training loss: 4.302192687988281
Step 12000 - training loss: 3.777569532394409
Step 13000 - training loss: 3.453470230102539
Step 14000 - training loss: 3.369837760925293
Step 15000 - training loss: 2.9682464599609375
Step 16000 - training loss: 3.2399487495422363
Step 17000 - training loss: 2.5940334796905518
Step 18000 - training loss: 2.4322428703308105
Step 19000 - training loss: 2.7666001319885254
Step 20000 - training loss: 2.0869362354278564
Step 21000 - training loss: 2.599280834197998
Step 22000 - training loss: 2.00333309173584
Step 23000 - training loss: 1.7435154914855957
Step 24000 - training loss: 2.742821455001831
Step 25000 - training loss: 2.0811800956726074
Step 26000 - training loss: 1.660003423690796
Step 27000 - training loss: 1.851317048072815
Step 28000 - training loss: 1.4872037172317505
Step 29000 - training loss: 1.6735341548919678
Step 30000 - training loss: 1.7157541513442993
Step 31000 - training loss: 1.7816318273544312
Step 32000 - training loss: 1.3292579650878906
Step 33000 - training loss: 1.5010426044464111
Step 34000 - training loss: 1.1363942623138428
Step 35000 - training loss: 1.1797878742218018
Step 36000 - training loss: 1.4099894762039185
Step 37000 - training loss: 1.58145010471344
Step 38000 - training loss: 1.2279084920883179
Step 39000 - training loss: 1.4539825916290283
Step 40000 - training loss: 1.0769236087799072
Step 41000 - training loss: 0.9734417200088501
Step 42000 - training loss: 1.2294560670852661
Step 43000 - training loss: 0.7412435412406921
Step 44000 - training loss: 1.045504093170166
Step 45000 - training loss: 1.0912903547286987
Step 46000 - training loss: 0.8328218460083008
Step 47000 - training loss: 1.239630103111267
Step 48000 - training loss: 1.3807177543640137
Step 49000 - training loss: 1.1168861389160156
Step 50000 - training loss: 0.9244193434715271
Step 51000 - training loss: 0.7272024154663086
Step 52000 - training loss: 0.7754102945327759
Step 53000 - training loss: 0.8589020371437073
Step 54000 - training loss: 0.7280098795890808
Step 55000 - training loss: 1.454886555671692
Step 56000 - training loss: 0.8079455494880676
Step 57000 - training loss: 0.7952355742454529
