Starting SCAN training
Namespace(model='lstm', train='../data/SCAN/simple_split/size_variations/tasks_train_simple_p8.txt', valid='../data/SCAN/simple_split/size_variations/tasks_test_simple_p8.txt', name=None, device='cuda', bsz=1, steps=100000, eval_interval=101000, lr=0.001, hidden_dim=100, layers=2, dropout=0.5, clip=5, use_attention=False, verbose=False, use_oracle=False, teacher_forcing_ratio=0.5, log_target_probs=False, seed=None)
----------
Loaded train dataset with 1672 entries
Loaded validation dataset with 19238 entries
Step 0 - training loss: 0.022491496056318283
Step 1000 - training loss: 23.826560974121094
Step 2000 - training loss: 16.552438735961914
Step 3000 - training loss: 13.270830154418945
Step 4000 - training loss: 10.917232513427734
Step 5000 - training loss: 9.639310836791992
Step 6000 - training loss: 8.763310432434082
Step 7000 - training loss: 8.087186813354492
Step 8000 - training loss: 7.834000587463379
Step 9000 - training loss: 7.42618465423584
Step 10000 - training loss: 6.867408275604248
Step 11000 - training loss: 6.229001998901367
Step 12000 - training loss: 6.496438026428223
Step 13000 - training loss: 6.205657958984375
Step 14000 - training loss: 5.297197341918945
Step 15000 - training loss: 5.789137840270996
Step 16000 - training loss: 4.756124973297119
Step 17000 - training loss: 5.107646465301514
Step 18000 - training loss: 4.676825046539307
Step 19000 - training loss: 4.862511157989502
Step 20000 - training loss: 4.107704162597656
Step 21000 - training loss: 4.623311519622803
Step 22000 - training loss: 4.418430805206299
Step 23000 - training loss: 3.521036148071289
Step 24000 - training loss: 4.561068534851074
Step 25000 - training loss: 3.966421127319336
Step 26000 - training loss: 3.3735427856445312
Step 27000 - training loss: 3.6461007595062256
Step 28000 - training loss: 3.2865970134735107
Step 29000 - training loss: 3.0976855754852295
Step 30000 - training loss: 3.4887921810150146
Step 31000 - training loss: 3.087998390197754
Step 32000 - training loss: 2.9326460361480713
Step 33000 - training loss: 2.982846736907959
Step 34000 - training loss: 2.514777660369873
Step 35000 - training loss: 2.7916996479034424
Step 36000 - training loss: 2.5396838188171387
Step 37000 - training loss: 2.7861602306365967
Step 38000 - training loss: 2.14615797996521
Step 39000 - training loss: 2.440586566925049
Step 40000 - training loss: 2.2432503700256348
Step 41000 - training loss: 2.58821439743042
Step 42000 - training loss: 2.527574062347412
Step 43000 - training loss: 2.1220128536224365
Step 44000 - training loss: 2.3863260746002197
Step 45000 - training loss: 2.169273853302002
Step 46000 - training loss: 2.369321584701538
Step 47000 - training loss: 1.6742818355560303
Step 48000 - training loss: 1.9540303945541382
Step 49000 - training loss: 1.6476647853851318
Step 50000 - training loss: 1.7979333400726318
Step 51000 - training loss: 1.9423733949661255
Step 52000 - training loss: 1.6587740182876587
Step 53000 - training loss: 1.6840614080429077
Step 54000 - training loss: 1.5764479637145996
Step 55000 - training loss: 1.8351290225982666
Step 56000 - training loss: 1.5177875757217407
Step 57000 - training loss: 1.7492613792419434
Step 58000 - training loss: 1.3205591440200806
Step 59000 - training loss: 1.2725529670715332
Step 60000 - training loss: 1.4087802171707153
Step 61000 - training loss: 1.5926029682159424
Step 62000 - training loss: 0.9968687891960144
Step 63000 - training loss: 1.335727334022522
Step 64000 - training loss: 1.1431593894958496
Step 65000 - training loss: 1.1966698169708252
Step 66000 - training loss: 1.396657943725586
Step 67000 - training loss: 1.4679492712020874
Step 68000 - training loss: 0.9483790397644043
Step 69000 - training loss: 1.0156656503677368
Step 70000 - training loss: 0.7622209191322327
Step 71000 - training loss: 0.6977030634880066
Step 72000 - training loss: 1.232576608657837
Step 73000 - training loss: 0.6539372205734253
Step 74000 - training loss: 1.2325396537780762
Step 75000 - training loss: 0.735931932926178
Step 76000 - training loss: 0.6996672749519348
Step 77000 - training loss: 0.9769807457923889
Step 78000 - training loss: 0.5778018832206726
Step 79000 - training loss: 0.4303557276725769
Step 80000 - training loss: 0.5265985727310181
Step 81000 - training loss: 0.6574351191520691
Step 82000 - training loss: 0.6697943210601807
Step 83000 - training loss: 1.1283146142959595
Step 84000 - training loss: 0.4337305724620819
Step 85000 - training loss: 0.6904699206352234
Step 86000 - training loss: 0.43714821338653564
Step 87000 - training loss: 0.39153537154197693
Step 88000 - training loss: 1.203704833984375
Step 89000 - training loss: 0.6166135668754578
