Starting SCAN training
Namespace(model='lstm', train='../data/SCAN/simple_split/tasks_train_simple.txt', valid='../data/SCAN/simple_split/tasks_test_simple.txt', name='last_model.pt', device='cuda', bsz=1, steps=100000, eval_interval=25000, lr=0.001, hidden_dim=100, layers=2, dropout=0.0, clip=5, use_attention=False, verbose=False, use_oracle=False, teacher_forcing_ratio=0.5, log_target_probs=False, seed=None)
----------
Loaded train dataset with 16728 entries
Loaded validation dataset with 4182 entries
Step 0 - training loss: 0.0021518643479794264
Step 1000 - training loss: 1.382002592086792
Step 2000 - training loss: 0.8694695234298706
Step 3000 - training loss: 0.6141813397407532
Step 4000 - training loss: 0.49234631657600403
Step 5000 - training loss: 0.4028383493423462
Step 6000 - training loss: 0.36313337087631226
Step 7000 - training loss: 0.27528929710388184
Step 8000 - training loss: 0.2584739923477173
Step 9000 - training loss: 0.23072218894958496
Step 10000 - training loss: 0.18353264033794403
Step 11000 - training loss: 0.18637274205684662
Step 12000 - training loss: 0.14214465022087097
Step 13000 - training loss: 0.12177633494138718
Step 14000 - training loss: 0.14882050454616547
Step 15000 - training loss: 0.11414887756109238
Step 16000 - training loss: 0.11148672550916672
Step 17000 - training loss: 0.08942271023988724
Step 18000 - training loss: 0.0725063607096672
Step 19000 - training loss: 0.06953020393848419
Step 20000 - training loss: 0.085582435131073
Step 21000 - training loss: 0.06837748736143112
Step 22000 - training loss: 0.06749320775270462
Step 23000 - training loss: 0.05215141549706459
Step 24000 - training loss: 0.06830815970897675
Step 25000 - running eval...
Step 25000 - Eval_acc: 81.42 % over 4182 data points (max 81.42037302725969).
Step 25000 - training loss: 0.04842730984091759
Step 26000 - training loss: 0.046007607132196426
Step 27000 - training loss: 0.04605432227253914
Step 28000 - training loss: 0.04898570105433464
Step 29000 - training loss: 0.049753688275814056
Step 30000 - training loss: 0.030415711924433708
Step 31000 - training loss: 0.04545164480805397
Step 32000 - training loss: 0.02315429411828518
Step 33000 - training loss: 0.0328226163983345
Step 34000 - training loss: 0.020761532709002495
Step 35000 - training loss: 0.02847970835864544
Step 36000 - training loss: 0.02067556232213974
Step 37000 - training loss: 0.03570062294602394
Step 38000 - training loss: 0.023347022011876106
Step 39000 - training loss: 0.03496324270963669
